Ticker,trailingPE,priceToBook
BBPO11.SA,8.616083,0.9403429
BBRC11.SA,,
BNFS11.SA,,
CXAG11.SA,8.62159,
TVRI11.SA,,0.9145867
NEXG11.SA,,
FAED11.SA,,
FCFL11.SA,,
RBED11.SA,5.2094183,0.6526054
ZIFI11.SA,,
BRIM11.SA,,
BRIP11.SA,6.253839,
BTWR11.SA,12.618582,
CFHI11.SA,59.866158,
FLFL11.SA,,
HRDF11.SA,,
INRD11.SA,120.57378,
KEVE11.SA,32.472614,
KINP11.SA,,
KNRE11.SA,,
LOFT11B.SA,,
MFII11.SA,10.990616,0.7735124
PABY11.SA,,-1.8273259
PATC11.SA,24.358974,
PNDL11.SA,,
PNPR11.SA,,
RBDS11.SA,,
RBIR11.SA,16.78409,
RBRI11.SA,87.0,
RBRM11.SA,,
RBRS11.SA,13.827273,
RBTS11.SA,6.064395,
ROOF11.SA,13.964582,
RSPD11.SA,15.038145,
SNEL11.SA,21.871796,
STRX11.SA,,
TGAR11.SA,,
TRXB11.SA,8.827683,
VXXV11.SA,,
YUFI11.SA,8.801775,
ALZM11.SA,64.0,
BBFO11.SA,,
BCIA11.SA,,
BICE11.SA,8.3682,
BLMR11.SA,,
BPFF11.SA,,0.8653634
CLIN11.SA,,
CPFF11.SA,13.9800005,
CRFF11.SA,,
CXRI11.SA,,
DVFF11.SA,,
GCFF11.SA,0.0,
HFOF11.SA,6.8705883,
HGFF11.SA,4.4730263,
IBFF11.SA,,
ITIT11.SA,22.45631,
JCIN11.SA,3.255915,
JSAF11.SA,,
KFOF11.SA,23.703264,
KISU11.SA,,
MORE11.SA,0.0,
OUFF11.SA,8.404402,
RBFF11.SA,8.302404,0.56549644
RBRF11.SA,5.629032,
RCFF11.SA,4.460628,
RECX11.SA,21.380503,
RFOF11.SA,,
RVBI11.SA,,
SNFF11.SA,16.044544,
TMPS11.SA,18.881119,
VIFI11.SA,5.738462,
XPSF11.SA,,
HCRI11.SA,4.516689,1.034299
HUCG11.SA,,
HUSC11.SA,11.232975,
HUSI11.SA,,
NSLU11.SA,,
NVHO11.SA,,
BTHI11.SA,,
HTMX11.SA,,
MGHT11.SA,,
XPHT11.SA,,
AURB11.SA,,
JASC11.SA,7.9240217,
LIFE11.SA,5.7077923,
SOLR11.SA,19.455032,
TOPP11.SA,,
TRXF11.SA,7.6671734,
AROA11.SA,19.8,
BLCP11.SA,,
BLMG11.SA,,
BRCO11.SA,,
BTAL11.SA,5.107209,
BTLG11.SA,92.336105,0.96223235
BTSG11.SA,8.68651,
CXTL11.SA,,0.43104768
EURO11.SA,6.418631,
FIIB11.SA,,
GARE11.SA,,
GGRC11.SA,,
GLOG11.SA,11.150943,
GTLG11.SA,14.950934,
HDEL11.SA,,
HGLG11.SA,9.74476,0.9988688
HLOG11.SA,,
HSLG11.SA,8.769968,
INLG11.SA,5.5844154,
LVBI11.SA,,
NEWL11.SA,8.748513,
OULG11.SA,0.72800475,
PATL11.SA,11.0,
PQAG11.SA,9.842833,
RBLG11.SA,2.4100475,
RBRL11.SA,18.573141,
RELG11.SA,15.17559,
RZAT11.SA,,
RZZR11.SA,6.1099,
SDIL11.SA,5.6989307,0.98601186
SJAU11.SA,,
SNLG11.SA,0.045091324,
TRBL11.SA,60.81818,0.6152101
VILG11.SA,13.588425,
VTLT11.SA,3.9897182,
XPIN11.SA,7.1496944,
XPLG11.SA,13.797468,
APTO11.SA,11.223684,
HOSI11.SA,11.128866,
HRES11.SA,15.152284,
JFLL11.SA,6.3103447,
LTMT11.SA,,
OBAL11.SA,105.28847,
PNCR11.SA,,
VCRR11.SA,13.446057,
BTYU11.SA,,
SMRE11.SA,,
AAGR11.SA,,
AAZQ11.SA,,
AGRX11.SA,,
ASRF11.SA,,
BBGO11.SA,,
BDIF11.SA,,
BDIV11.SA,,
BIDB11.SA,,
BIME11.SA,10.352941,
BIPD11.SA,,
BLCA11.SA,19.661734,
BODB11.SA,,
BTAG11.SA,,
